Time,Open,High,Low,Last,Change,%Chg,Volume
04/21/2021,21.27,21.9,20.94,21.9,0.23,+1.06%,6211100
04/22/2021,21.96,22.32,21.75,21.87,-0.03,-0.14%,5916900
04/23/2021,21.89,22.275,21.82,22.15,0.28,+1.28%,3739500
04/26/2021,22.28,22.75,22.2364,22.57,0.42,+1.90%,4581000
04/27/2021,22.76,22.96,22.44,22.9,0.33,+1.46%,4130000
04/28/2021,23,23.03,22.565,22.86,-0.04,-0.17%,4113000
04/29/2021,22.92,23.03,22.3142,22.9,0.04,+0.17%,4327400
04/30/2021,22.77,23.01,22.37,22.45,-0.45,-1.97%,3729200
05/03/2021,22.6,22.7,22.15,22.5,0.05,+0.22%,5825000
05/04/2021,22.75,23.2,21.87,22.49,-0.01,-0.04%,9467000
05/05/2021,22.71,23.1,22.67,22.8,0.31,+1.38%,14372300
05/06/2021,19.68,19.8,18.78,19.01,-3.79,-16.62%,37016300
